CMDdriver	GasFeedback	BrakeFeedback	AccX	AccY	CMD_acc	GpsSpeed
0.0000	0.4700	0.0000	2.2084	-0.0002	0.2500	40.3964
0.0000	0.1300	0.0000	-0.2674	-0.0002	2.0000	40.4859
0.0000	0.4800	0.0000	2.9641	-0.0002	2.0000	40.5267
0.0000	0.4600	0.0000	1.9929	-0.0002	2.0000	40.6888
0.0000	0.4800	0.0000	2.1856	-0.0001	2.0000	40.8356
0.0000	0.4800	0.0000	2.1022	-0.0000	2.0000	41.1420
0.0000	0.4800	0.0000	2.0844	0.0000	2.0000	41.2923
0.0000	0.4800	0.0000	2.0702	0.0000	2.0000	41.4414
0.0000	0.4800	0.0000	2.0608	0.0000	2.0000	41.5896
0.0000	0.4800	0.0000	2.0548	0.0001	2.0000	41.8851
0.0000	0.4900	0.0000	2.1172	0.0001	2.0000	42.0352
0.0000	0.4900	0.0000	2.1220	0.0001	2.0000	42.1875
0.0000	0.4900	0.0000	2.1294	0.0001	2.0000	42.3405
0.0000	0.4900	0.0000	2.1376	0.0001	2.0000	42.4940
0.0000	0.4900	0.0000	2.1551	0.0000	2.0000	42.8030
0.0000	0.4900	0.0000	2.1633	0.0000	2.0000	42.9584
0.0000	0.4900	0.0000	2.1704	0.0000	2.0000	43.1145
0.0000	0.4900	0.0000	2.1757	0.0000	2.0000	43.2710
0.0000	0.4900	0.0000	2.1832	0.0000	2.0000	43.5850
0.0000	0.4900	0.0000	2.1854	0.0000	2.0000	43.7423
0.0000	0.4900	0.0000	2.1868	0.0000	2.0000	43.8998
0.0000	0.4900	0.0000	2.1874	-0.0000	2.0000	44.0573
0.0000	0.4900	0.0000	2.1875	-0.0000	2.0000	44.2148
0.0000	0.4900	0.0000	2.1861	-0.0000	2.0000	44.5298
0.0000	0.4800	0.0000	2.1149	-0.0000	2.0000	44.6852
0.0000	0.4800	0.0000	2.1239	-0.0000	2.0000	44.8381
0.0000	0.4800	0.0000	2.1215	-0.0000	2.0000	44.9909
0.0000	0.4800	0.0000	2.1212	-0.0000	2.0000	45.2964
0.0000	0.4800	0.0000	2.1208	-0.0000	2.0000	45.4492
0.0000	0.4800	0.0000	2.1203	-0.0000	2.0000	45.6018
0.0000	0.4800	0.0000	2.1197	-0.0000	2.0000	45.7545
0.0000	0.4800	0.0000	2.1191	-0.0000	2.0000	45.9071
0.0000	0.4800	0.0000	2.1178	-0.0000	2.0000	46.2122
0.0000	0.4800	0.0000	2.1172	-0.0000	2.0000	46.3646
0.0000	0.4800	0.0000	2.1167	-0.0000	2.0000	46.5170
0.0000	0.4800	0.0000	2.1162	0.0000	2.0000	46.6694
0.0000	0.4800	0.0000	2.1153	0.0000	2.0000	46.9741
