CMDdriver	GasFeedback	BrakeFeedback	AccX	AccY	CMD_acc	GpsSpeed
CMDdriver	GasFeedback	BrakeFeedback	AccX	AccY	CMD_acc	GpsSpeed
0.0000	0.3900	0.0000	1.7724	-0.0001	0.2500	40.2121
0.0000	0.1300	0.0000	-0.5040	-0.0002	0.2663	40.2985
0.0000	0.1600	0.0000	0.4107	-0.0002	0.2825	40.3065
0.0000	0.1600	0.0000	0.2266	-0.0002	0.2989	40.3249
0.0000	0.1700	0.0000	0.2859	-0.0001	0.3152	40.3447
0.0000	0.1700	0.0000	0.3007	-0.0001	0.3314	40.3661
0.0000	0.1700	0.0000	0.2990	-0.0001	0.3476	40.3876
0.0000	0.1800	0.0000	0.3863	-0.0000	0.3639	40.4106
0.0000	0.1800	0.0000	0.3624	-0.0000	0.3801	40.4368
0.0000	0.1800	0.0000	0.3691	0.0000	0.3965	40.4631
0.0000	0.1900	0.0000	0.4218	0.0000	0.4126	40.4925
0.0000	0.1900	0.0000	0.4401	0.0001	0.4288	40.5239
0.0000	0.1900	0.0000	0.4434	0.0001	0.4449	40.5556
0.0000	0.1900	0.0000	0.4469	0.0001	0.4611	40.5877
0.0000	0.1900	0.0000	0.4502	0.0001	0.4773	40.6199
0.0000	0.1900	0.0000	0.4529	0.0001	0.4935	40.6524
0.0000	0.2000	0.0000	0.5082	0.0001	0.5096	40.6877
0.0000	0.2000	0.0000	0.5179	0.0001	0.5257	40.7248
0.0000	0.2000	0.0000	0.5187	0.0001	0.5417	40.7622
0.0000	0.2100	0.0000	0.6072	0.0000	0.5577	40.8004
0.0000	0.2100	0.0000	0.5783	0.0000	0.5737	40.8424
0.0000	0.2100	0.0000	0.5774	0.0000	0.5898	40.8840
0.0000	0.2200	0.0000	0.6358	0.0000	0.6057	40.9279
0.0000	0.2200	0.0000	0.6344	0.0000	0.6217	40.9736
0.0000	0.2200	0.0000	0.6337	0.0000	0.6375	41.0193
0.0000	0.2200	0.0000	0.6310	0.0000	0.6534	41.0648
0.0000	0.2300	0.0000	0.6774	-0.0000	0.6691	41.1131
0.0000	0.2300	0.0000	0.6898	-0.0000	0.6849	41.1627
0.0000	0.2300	0.0000	0.6861	-0.0000	0.7007	41.2122
0.0000	0.2400	0.0000	0.7692	-0.0000	0.7164	41.2630
0.0000	0.2400	0.0000	0.7407	-0.0000	0.7321	41.3166
0.0000	0.2400	0.0000	0.7413	-0.0000	0.7477	41.3700
0.0000	0.2500	0.0000	0.7886	-0.0000	0.7633	41.4260
0.0000	0.2500	0.0000	0.7993	-0.0000	0.7788	41.4835
0.0000	0.2500	0.0000	0.7968	-0.0000	0.7944	41.5410
0.0000	0.2600	0.0000	0.8845	-0.0000	0.8097	41.5994
0.0000	0.2600	0.0000	0.8531	-0.0000	0.8252	41.6612
0.0000	0.2600	0.0000	0.8535	-0.0000	0.8405	41.7226
0.0000	0.2600	0.0000	0.8521	-0.0000	0.8558	41.7840
0.0000	0.2600	0.0000	0.8510	-0.0000	0.8711	41.8453
0.0000	0.2600	0.0000	0.8504	-0.0000	0.8863	41.9066
0.0000	0.2700	0.0000	0.9388	-0.0000	0.9014	41.9686
0.0000	0.2700	0.0000	0.9111	-0.0000	0.9165	42.0345
0.0000	0.2700	0.0000	0.9113	0.0000	0.9315	42.1001
0.0000	0.2800	0.0000	0.9713	0.0000	0.9464	42.1681
0.0000	0.2800	0.0000	0.9710	0.0000	0.9614	42.2379
0.0000	0.2800	0.0000	0.9715	0.0000	0.9763	42.3079
0.0000	0.2800	0.0000	0.9701	0.0000	0.9910	42.3778
0.0000	0.2900	0.0000	1.0184	0.0000	1.0058	42.4505
0.0000	0.2900	0.0000	1.0313	0.0000	1.0203	42.5247
0.0000	0.2900	0.0000	1.0289	0.0000	1.0350	42.5988
0.0000	0.3000	0.0000	1.1127	0.0000	1.0495	42.6743
0.0000	0.3000	0.0000	1.0858	0.0000	1.0640	42.7528
0.0000	0.3000	0.0000	1.0867	0.0000	1.0783	42.8310
0.0000	0.3100	0.0000	1.1355	0.0000	1.0926	42.9119
0.0000	0.3100	0.0000	1.1455	0.0000	1.1068	42.9943
0.0000	0.3100	0.0000	1.1433	0.0000	1.1210	43.0767
0.0000	0.3100	0.0000	1.1413	0.0000	1.1350	43.1589
0.0000	0.3200	0.0000	1.2207	0.0000	1.1491	43.2416
0.0000	0.3200	0.0000	1.2016	0.0000	1.1630	43.3284
0.0000	0.3200	0.0000	1.1986	-0.0000	1.1768	43.4147
0.0000	0.3300	0.0000	1.2666	-0.0000	1.1906	43.5030
0.0000	0.3300	0.0000	1.2560	-0.0000	1.2043	43.5935
0.0000	0.3300	0.0000	1.2564	-0.0000	1.2179	43.6840
0.0000	0.3300	0.0000	1.2546	-0.0000	1.2314	43.7744
0.0000	0.3400	0.0000	1.3042	-0.0000	1.2448	43.8674
0.0000	0.3400	0.0000	1.3144	-0.0000	1.2582	43.9619
0.0000	0.3400	0.0000	1.3127	-0.0000	1.2715	44.0565
0.0000	0.3400	0.0000	1.3112	-0.0000	1.2847	44.1509
0.0000	0.3500	0.0000	1.3905	-0.0000	1.2978	44.2459
0.0000	0.3500	0.0000	1.3727	-0.0000	1.3108	44.3449
0.0000	0.3500	0.0000	1.3700	-0.0000	1.3237	44.4436
0.0000	0.3600	0.0000	1.4387	-0.0000	1.3365	44.5443
0.0000	0.3600	0.0000	1.4281	-0.0000	1.3492	44.6471
0.0000	0.3600	0.0000	1.4286	-0.0000	1.3617	44.7500
0.0000	0.3600	0.0000	1.4269	-0.0000	1.3743	44.8528
0.0000	0.3700	0.0000	1.4774	0.0000	1.3867	44.9582
0.0000	0.3700	0.0000	1.4867	0.0000	1.3990	45.0652
0.0000	0.3700	0.0000	1.4851	0.0000	1.4112	45.1721
0.0000	0.3700	0.0000	1.4836	0.0000	1.4234	45.2790
0.0000	0.3800	0.0000	1.5621	0.0000	1.4354	45.3863
0.0000	0.3800	0.0000	1.5449	0.0000	1.4474	45.4978
0.0000	0.3800	0.0000	1.5420	0.0000	1.4591	45.6088
0.0000	0.3800	0.0000	1.5410	0.0000	1.4709	45.7198
0.0000	0.3900	0.0000	1.6241	0.0000	1.4825	45.8322
0.0000	0.3900	0.0000	1.5990	0.0000	1.4940	45.9475
0.0000	0.3900	0.0000	1.5995	0.0000	1.5054	46.0627
0.0000	0.3900	0.0000	1.5981	0.0000	1.5167	46.1778
0.0000	0.3900	0.0000	1.5969	0.0000	1.5279	46.2928
0.0000	0.3900	0.0000	1.5961	0.0000	1.5389	46.4077
0.0000	0.3900	0.0000	1.5956	0.0000	1.5499	46.5226
0.0000	0.3900	0.0000	1.5953	0.0000	1.5607	46.6374
0.0000	0.3900	0.0000	1.5951	0.0000	1.5714	46.7523
0.0000	0.4000	0.0000	1.6516	0.0000	1.5820	46.8696
0.0000	0.4000	0.0000	1.6563	-0.0000	1.5925	46.9888
0.0000	0.4000	0.0000	1.6563	-0.0000	1.6029	47.1081
0.0000	0.4000	0.0000	1.6554	-0.0000	1.6133	47.2273
0.0000	0.4100	0.0000	1.7201	-0.0000	1.6234	47.3468
0.0000	0.4100	0.0000	1.7190	-0.0000	1.6334	47.4706
0.0000	0.4100	0.0000	1.7146	-0.0000	1.6433	47.5941
0.0000	0.4100	0.0000	1.7136	-0.0000	1.6531	47.7175
0.0000	0.4100	0.0000	1.7123	-0.0000	1.6628	47.8409
0.0000	0.4200	0.0000	1.7892	-0.0000	1.6723	47.9646
0.0000	0.4200	0.0000	1.7739	-0.0000	1.6818	48.0926
0.0000	0.4200	0.0000	1.7707	-0.0000	1.6911	48.2201
0.0000	0.4200	0.0000	1.7694	-0.0000	1.7003	48.3475
0.0000	0.4200	0.0000	1.7681	-0.0000	1.7092	48.4749
0.0000	0.4200	0.0000	1.7670	-0.0000	1.7182	48.6021
0.0000	0.4300	0.0000	1.8312	-0.0000	1.7270	48.7296
0.0000	0.4300	0.0000	1.8303	0.0000	1.7356	48.8615
0.0000	0.4300	0.0000	1.8261	0.0000	1.7442	48.9930
0.0000	0.4300	0.0000	1.8250	0.0000	1.7526	49.1244
0.0000	0.4300	0.0000	1.8240	0.0000	1.7609	49.2558
0.0000	0.4400	0.0000	1.9002	0.0000	1.7691	49.3876
0.0000	0.4400	0.0000	1.8859	0.0000	1.7770	49.5236
0.0000	0.4400	0.0000	1.8829	0.0000	1.7849	49.6592
0.0000	0.4400	0.0000	1.8819	0.0000	1.7927	49.7947
0.0000	0.4400	0.0000	1.8808	0.0000	1.8003	49.9301
0.0000	0.4400	0.0000	1.8799	0.0000	1.8078	50.0655
