CMDdriver	GasFeedback	BrakeFeedback	AccX	AccY	CMD_acc	GpsSpeed
0.0000	0.0000	0.1400	-1.2383	0.0000	0.2500	39.9128
0.0000	0.1500	0.0000	0.2758	-0.0003	0.2818	39.8466
0.0000	0.1500	0.0000	0.2758	-0.0003	0.2976	39.8466
0.0000	0.1600	0.0000	0.3109	-0.0002	0.3136	39.8681
0.0000	0.1600	0.0000	0.3128	-0.0001	0.3295	39.9150
0.0000	0.1700	0.0000	0.3697	-0.0001	0.3452	39.9409
0.0000	0.1700	0.0000	0.3605	-0.0001	0.3771	39.9673
0.0000	0.1800	0.0000	0.3985	-0.0000	0.3929	39.9929
0.0000	0.1800	0.0000	0.3898	0.0000	0.4089	40.0507
0.0000	0.1900	0.0000	0.4493	0.0000	0.4247	40.0823
0.0000	0.1900	0.0000	0.4338	0.0001	0.4565	40.1455
0.0000	0.1900	0.0000	0.4338	0.0001	0.4724	40.1455
0.0000	0.1900	0.0000	0.4308	0.0001	0.4882	40.1766
0.0000	0.1900	0.0000	0.4292	0.0001	0.5041	40.2383
0.0000	0.2000	0.0000	0.4929	0.0001	0.5199	40.2729
0.0000	0.2000	0.0000	0.4944	0.0001	0.5517	40.3084
0.0000	0.2100	0.0000	0.5463	0.0001	0.5676	40.3441
0.0000	0.2100	0.0000	0.5605	0.0000	0.5834	40.4249
0.0000	0.2100	0.0000	0.5631	0.0000	0.5993	40.4653
0.0000	0.2200	0.0000	0.6290	0.0000	0.6312	40.5546
0.0000	0.2200	0.0000	0.6290	0.0000	0.6470	40.5546
0.0000	0.2300	0.0000	0.6589	-0.0000	0.6629	40.5999
0.0000	0.2300	0.0000	0.6886	-0.0000	0.6787	40.6994
0.0000	0.2300	0.0000	0.6881	-0.0000	0.6945	40.7489
0.0000	0.2400	0.0000	0.7404	-0.0000	0.7264	40.8017
0.0000	0.2400	0.0000	0.7492	-0.0000	0.7423	40.8556
0.0000	0.2500	0.0000	0.8129	-0.0000	0.7582	40.9674
0.0000	0.2500	0.0000	0.8036	-0.0000	0.7739	41.0254
0.0000	0.2500	0.0000	0.7996	-0.0000	0.8057	41.1409
0.0000	0.2500	0.0000	0.7996	-0.0000	0.8216	41.1409
0.0000	0.2600	0.0000	0.8475	-0.0000	0.8375	41.2011
0.0000	0.2600	0.0000	0.8563	-0.0000	0.8535	41.3246
0.0000	0.2600	0.0000	0.8543	-0.0000	0.8692	41.3861
0.0000	0.2600	0.0000	0.8530	-0.0000	0.9010	41.4476
0.0000	0.2700	0.0000	0.9028	-0.0000	0.9169	41.5091
0.0000	0.2700	0.0000	0.9116	0.0000	0.9328	41.6408
0.0000	0.2800	0.0000	0.9768	0.0000	0.9486	41.7104
0.0000	0.2800	0.0000	0.9700	0.0000	0.9805	41.8503
0.0000	0.2800	0.0000	0.9700	0.0000	0.9963	41.8503
0.0000	0.2900	0.0000	1.0187	0.0000	1.0122	41.9229
0.0000	0.2900	0.0000	1.0281	0.0000	1.0281	42.0710
0.0000	0.2900	0.0000	1.0265	0.0000	1.0439	42.1450
0.0000	0.3000	0.0000	1.0793	0.0000	1.0757	42.2221
0.0000	0.3000	0.0000	1.0877	0.0000	1.0916	42.3004
0.0000	0.3100	0.0000	1.1518	0.0000	1.1074	42.4609
0.0000	0.3100	0.0000	1.1436	0.0000	1.1233	42.5434
0.0000	0.3100	0.0000	1.1409	0.0000	1.1550	42.7079
0.0000	0.3100	0.0000	1.1409	0.0000	1.1710	42.7079
0.0000	0.3200	0.0000	1.1902	0.0000	1.1868	42.7927
0.0000	0.3300	0.0000	1.2667	-0.0000	1.2027	42.9696
0.0000	0.3300	0.0000	1.2594	-0.0000	1.2185	43.0604
0.0000	0.3300	0.0000	1.2573	-0.0000	1.2504	43.1510
0.0000	0.3400	0.0000	1.3059	-0.0000	1.2661	43.2416
0.0000	0.3400	0.0000	1.3141	-0.0000	1.2821	43.4313
0.0000	0.3500	0.0000	1.3777	-0.0000	1.2980	43.5298
0.0000	0.3500	0.0000	1.3708	-0.0000	1.3297	43.7275
0.0000	0.3500	0.0000	1.3708	-0.0000	1.3455	43.7275
0.0000	0.3600	0.0000	1.4203	-0.0000	1.3615	43.8289
0.0000	0.3600	0.0000	1.4278	-0.0000	1.3773	44.0346
0.0000	0.3700	0.0000	1.4874	-0.0000	1.3932	44.1410
0.0000	0.3700	0.0000	1.4871	-0.0000	1.4249	44.2481
0.0000	0.3800	0.0000	1.5340	-0.0000	1.4408	44.3552
0.0000	0.3800	0.0000	1.5425	-0.0000	1.4567	44.5778
0.0000	0.3800	0.0000	1.5412	0.0000	1.4726	44.6888
0.0000	0.3900	0.0000	1.6012	0.0000	1.5043	44.9185
0.0000	0.3900	0.0000	1.6012	0.0000	1.5203	44.9185
0.0000	0.4000	0.0000	1.6285	0.0000	1.5362	45.0336
0.0000	0.4000	0.0000	1.6571	0.0000	1.5521	45.2726
0.0000	0.4000	0.0000	1.6556	0.0000	1.5678	45.3918
0.0000	0.4000	0.0000	1.6543	0.0000	1.5997	45.5110
0.0000	0.4000	0.0000	1.6534	0.0000	1.6156	45.6300
0.0000	0.4100	0.0000	1.7195	0.0000	1.6314	45.8723
0.0000	0.4100	0.0000	1.7136	0.0000	1.6473	45.9958
0.0000	0.4100	0.0000	1.7126	0.0000	1.6791	46.1191
0.0000	0.4100	0.0000	1.7120	0.0000	1.6949	46.2424
0.0000	0.4200	0.0000	1.7688	0.0000	1.7108	46.3691
0.0000	0.4200	0.0000	1.7713	0.0000	1.7267	46.6243
0.0000	0.4300	0.0000	1.8311	0.0000	1.7425	46.7555
0.0000	0.4300	0.0000	1.8316	-0.0000	1.7743	46.8874
0.0000	0.4400	0.0000	1.8776	-0.0000	1.7901	47.0193
0.0000	0.4400	0.0000	1.8873	-0.0000	1.8060	47.2916
0.0000	0.4400	0.0000	1.8855	-0.0000	1.8219	47.4274
0.0000	0.4500	0.0000	1.9410	-0.0000	1.8537	47.5665
0.0000	0.4500	0.0000	1.9447	-0.0000	1.8695	47.7065
0.0000	0.4600	0.0000	1.9710	-0.0000	1.8855	47.8464
0.0000	0.4600	0.0000	1.9997	-0.0000	1.9013	48.1348
0.0000	0.4600	0.0000	1.9977	-0.0000	1.9171	48.2786
0.0000	0.4700	0.0000	2.0504	-0.0000	1.9489	48.4256
0.0000	0.4700	0.0000	2.0570	-0.0000	1.9648	48.5737
0.0000	0.4800	0.0000	2.1188	0.0000	1.9807	48.8738
0.0000	0.4800	0.0000	2.1128	0.0000	1.9966	49.0260
0.0000	0.4800	0.0000	2.1109	0.0000	2.0000	49.1780
0.0000	0.4800	0.0000	2.1094	0.0000	2.0000	49.3299
0.0000	0.4800	0.0000	2.1084	0.0000	2.0000	49.4817
0.0000	0.4800	0.0000	2.1073	0.0000	2.0000	49.7852
0.0000	0.4800	0.0000	2.1072	0.0000	2.0000	49.9369
0.0000	0.4800	0.0000	2.1073	0.0000	2.0000	50.0886
0.0000	0.4800	0.0000	2.1076	0.0000	2.0000	50.2403
0.0000	0.4800	0.0000	2.1087	0.0000	2.0000	50.5439
0.0000	0.4800	0.0000	2.1092	0.0000	2.0000	50.6957
0.0000	0.4800	0.0000	2.1101	0.0000	2.0000	50.9995
0.0000	0.4800	0.0000	2.1101	0.0000	2.0000	50.9995
0.0000	0.4800	0.0000	2.1104	0.0000	2.0000	51.1515
0.0000	0.4800	0.0000	2.1107	0.0000	2.0000	51.4554
0.0000	0.4800	0.0000	2.1107	0.0000	2.0000	51.6074
0.0000	0.4800	0.0000	2.1106	0.0000	2.0000	51.7594
0.0000	0.4800	0.0000	2.1105	0.0000	2.0000	51.9113
0.0000	0.4800	0.0000	2.1101	0.0000	2.0000	52.2152
0.0000	0.4800	0.0000	2.1098	0.0000	2.0000	52.3671
0.0000	0.4800	0.0000	2.1092	0.0000	2.0000	52.6709
0.0000	0.4800	0.0000	2.1092	0.0000	2.0000	52.6709
0.0000	0.4800	0.0000	2.1090	0.0000	2.0000	52.8228
0.0000	0.4800	0.0000	2.1084	0.0000	2.0000	53.1264
0.0000	0.4800	0.0000	2.1080	0.0000	2.0000	53.2782
0.0000	0.4800	0.0000	2.1077	0.0000	2.0000	53.4300
0.0000	0.4800	0.0000	2.1074	0.0000	2.0000	53.5817
0.0000	0.4800	0.0000	2.1068	0.0000	2.0000	53.8852
0.0000	0.4800	0.0000	2.1065	0.0000	2.0000	54.0368
0.0000	0.4800	0.0000	2.1060	0.0000	2.0000	54.3401
0.0000	0.4800	0.0000	2.1060	0.0000	2.0000	54.3401
0.0000	0.4800	0.0000	2.1057	0.0000	2.0000	54.4918
0.0000	0.4800	0.0000	2.1053	0.0000	2.0000	54.7950
0.0000	0.4800	0.0000	2.1051	0.0000	2.0000	54.9465
0.0000	0.4800	0.0000	2.1049	0.0000	2.0000	55.0981
0.0000	0.4800	0.0000	2.1047	0.0000	2.0000	55.2496
0.0000	0.4800	0.0000	2.1043	0.0000	2.0000	55.5527
0.0000	0.4800	0.0000	2.1041	0.0000	2.0000	55.7042
0.0000	0.4800	0.0000	2.1037	0.0000	2.0000	56.0071
0.0000	0.4800	0.0000	2.1037	0.0000	2.0000	56.0071
0.0000	0.4800	0.0000	2.1034	0.0000	2.0000	56.1586
0.0000	0.4800	0.0000	2.1030	0.0000	2.0000	56.4615
0.0000	0.4800	0.0000	2.1028	0.0000	2.0000	56.6129
0.0000	0.4800	0.0000	2.1025	0.0000	2.0000	56.7643
0.0000	0.4800	0.0000	2.1023	0.0000	2.0000	56.9156
0.0000	0.4800	0.0000	2.1018	0.0000	2.0000	57.2183
0.0000	0.4800	0.0000	2.1016	0.0000	2.0000	57.3697
0.0000	0.4800	0.0000	2.1011	0.0000	2.0000	57.6722
0.0000	0.4800	0.0000	2.1011	0.0000	2.0000	57.6722
0.0000	0.4800	0.0000	2.1008	0.0000	2.0000	57.8235
0.0000	0.4800	0.0000	2.1003	0.0000	2.0000	58.1260
0.0000	0.4800	0.0000	2.1001	0.0000	2.0000	58.2772
0.0000	0.4800	0.0000	2.0999	0.0000	2.0000	58.4284
0.0000	0.4800	0.0000	2.0996	0.0000	2.0000	58.5796
0.0000	0.4800	0.0000	2.0991	0.0000	2.0000	58.8819
0.0000	0.4800	0.0000	2.0989	0.0000	2.0000	59.0330
0.0000	0.4800	0.0000	2.0986	0.0000	2.0000	59.1842
0.0000	0.4800	0.0000	2.0984	0.0000	2.0000	59.3352
0.0000	0.4800	0.0000	2.0982	0.0000	2.0000	59.4863
0.0000	0.4800	0.0000	2.0977	0.0000	2.0000	59.7884
0.0000	0.4800	0.0000	2.0974	0.0000	2.0000	59.9395
0.0000	0.4800	0.0000	2.0972	0.0000	2.0000	60.0905
0.0000	0.4800	0.0000	2.0969	0.0000	2.0000	60.2414
0.0000	0.4800	0.0000	2.0964	0.0000	2.0000	60.5434
0.0000	0.4800	0.0000	2.0962	0.0000	2.0000	60.6943
0.0000	0.4800	0.0000	2.0959	0.0000	2.0000	60.8452
0.0000	0.4800	0.0000	2.0957	0.0000	2.0000	60.9961
0.0000	0.4800	0.0000	2.0954	0.0000	2.0000	61.1470
0.0000	0.4800	0.0000	2.0949	0.0000	2.0000	61.4487
0.0000	0.4800	0.0000	2.0947	0.0000	2.0000	61.5995
0.0000	0.4800	0.0000	2.0944	0.0000	2.0000	61.7503
0.0000	0.4800	0.0000	2.0942	0.0000	2.0000	61.9011
0.0000	0.4800	0.0000	2.0937	0.0000	2.0000	62.2027
0.0000	0.4700	0.0000	2.0321	0.0000	2.0000	62.3496
0.0000	0.4700	0.0000	2.0316	0.0000	2.0000	62.4958
0.0000	0.4700	0.0000	2.0327	0.0000	2.0000	62.6421
0.0000	0.4700	0.0000	2.0334	0.0000	2.0000	62.7885
0.0000	0.4700	0.0000	2.0346	0.0000	2.0000	63.0815
0.0000	0.4700	0.0000	2.0350	0.0000	2.0000	63.2280
0.0000	0.4700	0.0000	2.0352	0.0000	2.0000	63.3745
0.0000	0.4700	0.0000	2.0353	0.0000	2.0000	63.5211
0.0000	0.4700	0.0000	2.0351	0.0000	2.0000	63.8142
0.0000	0.4700	0.0000	2.0349	0.0000	2.0000	63.9607
0.0000	0.4700	0.0000	2.0346	0.0000	2.0000	64.1072
0.0000	0.4700	0.0000	2.0342	0.0000	2.0000	64.2537
0.0000	0.4700	0.0000	2.0338	0.0000	2.0000	64.4002
0.0000	0.4700	0.0000	2.0329	0.0000	2.0000	64.6930
0.0000	0.4700	0.0000	2.0324	0.0000	2.0000	64.8393
0.0000	0.4700	0.0000	2.0319	0.0000	2.0000	64.9857
0.0000	0.4700	0.0000	2.0314	0.0000	2.0000	65.1319
0.0000	0.4700	0.0000	2.0305	0.0000	2.0000	65.4244
0.0000	0.4700	0.0000	2.0301	0.0000	2.0000	65.5706
0.0000	0.4700	0.0000	2.0294	0.0000	1.9751	65.8629
0.0000	0.4700	0.0000	2.0294	0.0000	1.9592	65.8629
0.0000	0.4700	0.0000	2.0291	0.0000	1.9434	66.0090
0.0000	0.4600	0.0000	1.9664	0.0000	1.9275	66.2971
0.0000	0.4600	0.0000	1.9670	0.0000	1.9117	66.4387
0.0000	0.4600	0.0000	1.9680	0.0000	1.8799	66.5803
0.0000	0.4500	0.0000	1.9257	0.0000	1.8639	66.7220
0.0000	0.4500	0.0000	1.9088	0.0000	1.8481	66.9966
0.0000	0.4500	0.0000	1.9103	0.0000	1.8322	67.1341
0.0000	0.4500	0.0000	1.9126	0.0000	1.8005	67.4094
0.0000	0.4500	0.0000	1.9126	0.0000	1.7845	67.4094
0.0000	0.4400	0.0000	1.8539	0.0000	1.7687	67.5446
0.0000	0.4400	0.0000	1.8534	0.0000	1.7528	67.8114
0.0000	0.4300	0.0000	1.7947	0.0000	1.7370	67.9414
0.0000	0.4300	0.0000	1.7938	0.0000	1.7051	68.0705
0.0000	0.4200	0.0000	1.7525	0.0000	1.6893	68.1997
0.0000	0.4200	0.0000	1.7366	0.0000	1.6735	68.4495
0.0000	0.4200	0.0000	1.7384	0.0000	1.6576	68.5746
0.0000	0.4100	0.0000	1.6810	0.0000	1.6258	68.6965
0.0000	0.4100	0.0000	1.6790	0.0000	1.6099	68.8174
0.0000	0.4100	0.0000	1.6807	0.0000	1.5940	68.9384
0.0000	0.4000	0.0000	1.6207	0.0000	1.5782	69.1766
0.0000	0.4000	0.0000	1.6218	0.0000	1.5624	69.2934
0.0000	0.4000	0.0000	1.6232	0.0000	1.5306	69.4103
0.0000	0.3900	0.0000	1.5811	0.0000	1.5147	69.5271
0.0000	0.3900	0.0000	1.5635	0.0000	1.4988	69.7521
0.0000	0.3800	0.0000	1.5034	0.0000	1.4830	69.8609
0.0000	0.3800	0.0000	1.5054	0.0000	1.4512	70.0775
0.0000	0.3800	0.0000	1.5054	0.0000	1.4353	70.0775
