CMDdriver	GasFeedback	BrakeFeedback	AccX	AccY	CMD_acc	GpsSpeed
CMDdriver	GasFeedback	BrakeFeedback	AccX	AccY	CMD_acc	GpsSpeed
0.0000	0.4966	0.0000	3.6708	0.0000	0.2500	40.0540
0.0000	0.1000	0.0000	2.4175	-0.0000	2.5000	40.2604
0.0000	0.5200	0.0000	2.5339	-0.0000	2.5000	40.4507
0.0000	0.5000	0.0000	2.6336	-0.0000	2.5000	40.8378
0.0000	0.5000	0.0000	2.6336	-0.0000	2.5000	40.8378
0.0000	0.5000	0.0000	2.5968	-0.0000	2.5000	41.0257
0.0000	0.5000	0.0000	2.5369	-0.0000	2.5000	41.3941
0.0000	0.5000	0.0000	2.5002	0.0000	2.5000	41.7553
0.0000	0.5000	0.0000	2.5002	0.0000	2.5000	41.7553
0.0000	0.5000	0.0000	2.4902	0.0000	2.5000	41.9344
0.0000	0.5031	0.0000	2.4949	0.0000	2.5000	42.1130
0.0000	0.5016	0.0000	2.4966	0.0000	2.5000	42.4724
0.0000	0.5011	0.0000	2.5002	0.0000	2.5000	42.6520
0.0000	0.5000	0.0000	2.5029	0.0000	2.5000	42.8318
0.0000	0.5000	0.0000	2.5029	0.0000	2.5000	42.8318
0.0000	0.5000	0.0000	2.5135	0.0000	2.5000	43.0122
0.0000	0.5000	0.0000	2.5368	0.0000	2.5000	43.3758
0.0000	0.5000	0.0000	2.5551	0.0000	2.5000	43.7426
0.0000	0.5000	0.0000	2.5551	0.0000	2.5000	43.7426
0.0000	0.5000	0.0000	2.5619	0.0000	2.5000	43.9268
0.0000	0.5000	0.0000	2.5672	0.0000	2.5000	44.1116
0.0000	0.5000	0.0000	2.5738	0.0000	2.5000	44.4819
0.0000	0.5000	0.0000	2.5759	-0.0000	2.5000	44.8529
0.0000	0.5000	0.0000	2.5759	-0.0000	2.5000	44.8529
0.0000	0.5000	0.0000	2.5757	-0.0000	2.5000	45.0384
0.0000	0.5000	0.0000	2.5734	-0.0000	2.5000	45.4093
0.0000	0.5000	0.0000	2.5700	-0.0000	2.5000	45.7797
0.0000	0.5000	0.0000	2.5700	-0.0000	2.5000	45.7797
0.0000	0.5000	0.0000	2.5684	-0.0000	2.5000	45.9647
0.0000	0.5000	0.0000	2.5666	-0.0000	2.5000	46.1496
0.0000	0.5000	0.0000	2.5631	-0.0000	2.5000	46.5189
0.0000	0.5000	0.0000	2.5597	-0.0000	2.5000	46.8877
0.0000	0.5000	0.0000	2.5597	-0.0000	2.5000	46.8877
0.0000	0.5000	0.0000	2.5581	-0.0000	2.5000	47.0719
0.0000	0.5000	0.0000	2.5556	-0.0000	2.5000	47.4401
0.0000	0.5000	0.0000	2.5539	-0.0000	2.5000	47.8079
0.0000	0.5000	0.0000	2.5539	-0.0000	2.5000	47.8079
0.0000	0.5000	0.0000	2.5534	0.0000	2.5000	47.9918
0.0000	0.5000	0.0000	2.5532	0.0000	2.5000	48.1756
0.0000	0.5000	0.0000	2.5532	0.0000	2.5000	48.5432
0.0000	0.5000	0.0000	2.5539	0.0000	2.5000	48.9109
0.0000	0.5000	0.0000	2.5539	0.0000	2.5000	48.9109
0.0000	0.5000	0.0000	2.5543	0.0000	2.5000	49.0948
0.0000	0.5000	0.0000	2.5548	0.0000	2.5000	49.4627
0.0000	0.5000	0.0000	2.5549	0.0000	2.5000	49.8306
0.0000	0.5000	0.0000	2.5549	0.0000	2.5000	49.8306
0.0000	0.5000	0.0000	2.5549	0.0000	2.5000	50.0146
0.0000	0.5000	0.0000	2.5547	0.0000	2.5000	50.1985
0.0000	0.5000	0.0000	2.5543	0.0000	2.5000	50.5664
0.0000	0.5000	0.0000	2.5536	-0.0000	2.5000	50.9341
0.0000	0.5000	0.0000	2.5536	-0.0000	2.5000	50.9341
0.0000	0.5000	0.0000	2.5532	-0.0000	2.5000	51.1180
0.0000	0.5000	0.0000	2.5525	-0.0000	2.5000	51.4856
0.0000	0.5000	0.0000	2.5517	-0.0000	2.5000	51.8531
0.0000	0.5000	0.0000	2.5517	-0.0000	2.5000	51.8531
0.0000	0.5000	0.0000	2.5514	-0.0000	2.5000	52.0368
0.0000	0.5000	0.0000	2.5510	-0.0000	2.5000	52.2205
0.0000	0.5000	0.0000	2.5504	-0.0000	2.5000	52.5878
0.0000	0.5000	0.0000	2.5497	-0.0000	2.5000	52.9550
0.0000	0.5000	0.0000	2.5497	-0.0000	2.5000	52.9550
0.0000	0.5000	0.0000	2.5494	-0.0000	2.5000	53.1386
0.0000	0.5000	0.0000	2.5488	-0.0000	2.5000	53.5056
0.0000	0.5000	0.0000	2.5483	-0.0000	2.5000	53.8726
