CMDdriver	GasFeedback	BrakeFeedback	AccX	AccY	CMD_acc	GpsSpeed
0.0000	0.5045	0.0000	2.8027	-0.0000	0.2500	40.3537
0.0000	0.1000	0.0000	-0.5709	-0.0000	2.5000	40.4871
0.0000	0.5200	0.0000	3.1585	-0.0000	2.5000	40.5277
0.0000	0.5000	0.0000	2.7112	-0.0000	2.5000	40.7364
0.0000	0.5000	0.0000	2.5881	-0.0000	2.5000	41.1123
0.0000	0.5000	0.0000	2.5562	-0.0000	2.5000	41.2970
0.0000	0.5000	0.0000	2.5320	-0.0000	2.5000	41.4796
0.0000	0.5000	0.0000	2.5137	0.0000	2.5000	41.6607
0.0000	0.5000	0.0000	2.5008	0.0000	2.5000	41.8406
0.0000	0.5000	0.0000	2.4896	0.0000	2.5000	42.1988
0.0000	0.5033	0.0000	2.5132	0.0000	2.5000	42.3784
0.0000	0.5000	0.0000	2.4856	0.0000	2.5000	42.5585
0.0000	0.5046	0.0000	2.5417	0.0000	2.5000	42.7385
0.0000	0.5000	0.0000	2.5195	0.0000	2.5000	43.1004
0.0000	0.5000	0.0000	2.5312	0.0000	2.5000	43.2822
0.0000	0.5000	0.0000	2.5416	0.0000	2.5000	43.4649
0.0000	0.5000	0.0000	2.5508	0.0000	2.5000	43.6482
0.0000	0.5000	0.0000	2.5635	0.0000	2.5000	44.0166
0.0000	0.5000	0.0000	2.5679	0.0000	2.5000	44.2014
0.0000	0.5000	0.0000	2.5712	0.0000	2.5000	44.3865
0.0000	0.5000	0.0000	2.5733	0.0000	2.5000	44.5718
0.0000	0.5000	0.0000	2.5744	0.0000	2.5000	44.7572
0.0000	0.5000	0.0000	2.5742	-0.0000	2.5000	45.1280
0.0000	0.5000	0.0000	2.5733	-0.0000	2.5000	45.3134
0.0000	0.5000	0.0000	2.5719	-0.0000	2.5000	45.4987
0.0000	0.5000	0.0000	2.5702	-0.0000	2.5000	45.6838
0.0000	0.5000	0.0000	2.5672	-0.0000	2.5000	46.0537
0.0000	0.5000	0.0000	2.5656	-0.0000	2.5000	46.2385
0.0000	0.5000	0.0000	2.5639	-0.0000	2.5000	46.4232
0.0000	0.5000	0.0000	2.5623	-0.0000	2.5000	46.6077
0.0000	0.5000	0.0000	2.5607	-0.0000	2.5000	46.7921
0.0000	0.5000	0.0000	2.5577	-0.0000	2.5000	47.1606
0.0000	0.5000	0.0000	2.5565	-0.0000	2.5000	47.3447
0.0000	0.5000	0.0000	2.5555	-0.0000	2.5000	47.5287
0.0000	0.5000	0.0000	2.5546	-0.0000	2.5000	47.7127
0.0000	0.5000	0.0000	2.5536	0.0000	2.5000	48.0804
0.0000	0.5000	0.0000	2.5534	0.0000	2.5000	48.2643
0.0000	0.5000	0.0000	2.5533	0.0000	2.5000	48.4481
0.0000	0.5000	0.0000	2.5535	0.0000	2.5000	48.6320
0.0000	0.5000	0.0000	2.5538	0.0000	2.5000	48.8158
0.0000	0.5000	0.0000	2.5544	0.0000	2.5000	49.1836
0.0000	0.5000	0.0000	2.5546	0.0000	2.5000	49.3675
0.0000	0.5000	0.0000	2.5548	0.0000	2.5000	49.5515
0.0000	0.5000	0.0000	2.5549	0.0000	2.5000	49.7354
0.0000	0.5000	0.0000	2.5547	0.0000	2.5000	50.1033
0.0000	0.5000	0.0000	2.5546	0.0000	2.5000	50.2873
0.0000	0.5000	0.0000	2.5543	0.0000	2.5000	50.4712
0.0000	0.5000	0.0000	2.5541	0.0000	2.5000	50.6551
0.0000	0.5000	0.0000	2.5537	0.0000	2.5000	50.8390
0.0000	0.5000	0.0000	2.5530	-0.0000	2.5000	51.2067
