CMDdriver	GasFeedback	BrakeFeedback	AccX	AccY	CMD_acc	GpsSpeed
0.0000	0.4900	0.0000	2.9137	0.0000	0.2500	40.2057
0.0000	0.1000	0.0000	-0.1525	-0.0000	2.5000	40.3842
0.0000	0.5200	0.0000	1.0926	-0.0000	2.5000	40.3919
0.0000	0.5200	0.0000	2.7865	-0.0000	2.5000	40.7918
0.0000	0.5000	0.0000	2.5709	-0.0000	2.5000	40.9861
0.0000	0.5000	0.0000	2.5787	-0.0000	2.5000	41.1722
0.0000	0.5000	0.0000	2.5433	-0.0000	2.5000	41.3558
0.0000	0.5000	0.0000	2.5212	-0.0000	2.5000	41.5376
0.0000	0.5000	0.0000	2.4933	0.0000	2.5000	41.8972
0.0000	0.5021	0.0000	2.5054	0.0000	2.5000	42.0763
0.0000	0.5000	0.0000	2.4792	0.0000	2.5000	42.2557
0.0000	0.5067	0.0000	2.5331	0.0000	2.5000	42.4345
0.0000	0.5000	0.0000	2.4957	0.0000	2.5000	42.7962
0.0000	0.5014	0.0000	2.5222	0.0000	2.5000	42.9767
0.0000	0.5000	0.0000	2.5184	0.0000	2.5000	43.1583
0.0000	0.5000	0.0000	2.5341	0.0000	2.5000	43.3403
0.0000	0.5000	0.0000	2.5445	0.0000	2.5000	43.5231
0.0000	0.5000	0.0000	2.5600	0.0000	2.5000	43.8908
0.0000	0.5000	0.0000	2.5656	0.0000	2.5000	44.0754
0.0000	0.5000	0.0000	2.5699	0.0000	2.5000	44.2604
0.0000	0.5000	0.0000	2.5729	0.0000	2.5000	44.4456
0.0000	0.5000	0.0000	2.5756	0.0000	2.5000	44.8165
0.0000	0.5000	0.0000	2.5755	-0.0000	2.5000	45.0020
0.0000	0.5000	0.0000	2.5749	-0.0000	2.5000	45.1875
0.0000	0.5000	0.0000	2.5736	-0.0000	2.5000	45.3729
0.0000	0.5000	0.0000	2.5720	-0.0000	2.5000	45.5582
0.0000	0.5000	0.0000	2.5687	-0.0000	2.5000	45.9283
0.0000	0.5000	0.0000	2.5670	-0.0000	2.5000	46.1132
0.0000	0.5000	0.0000	2.5653	-0.0000	2.5000	46.2980
0.0000	0.5000	0.0000	2.5636	-0.0000	2.5000	46.4826
0.0000	0.5000	0.0000	2.5601	-0.0000	2.5000	46.8515
0.0000	0.5000	0.0000	2.5586	-0.0000	2.5000	47.0358
0.0000	0.5000	0.0000	2.5572	-0.0000	2.5000	47.2199
0.0000	0.5000	0.0000	2.5559	-0.0000	2.5000	47.4040
0.0000	0.5000	0.0000	2.5549	-0.0000	2.5000	47.5880
0.0000	0.5000	0.0000	2.5536	0.0000	2.5000	47.9557
0.0000	0.5000	0.0000	2.5532	0.0000	2.5000	48.1396
0.0000	0.5000	0.0000	2.5531	0.0000	2.5000	48.3234
0.0000	0.5000	0.0000	2.5532	0.0000	2.5000	48.5072
0.0000	0.5000	0.0000	2.5538	0.0000	2.5000	48.8749
0.0000	0.5000	0.0000	2.5542	0.0000	2.5000	49.0588
0.0000	0.5000	0.0000	2.5545	0.0000	2.5000	49.2427
0.0000	0.5000	0.0000	2.5547	0.0000	2.5000	49.4266
0.0000	0.5000	0.0000	2.5548	0.0000	2.5000	49.6106
0.0000	0.5000	0.0000	2.5549	0.0000	2.5000	49.9785
0.0000	0.5000	0.0000	2.5547	0.0000	2.5000	50.1624
0.0000	0.5000	0.0000	2.5545	0.0000	2.5000	50.3464
0.0000	0.5000	0.0000	2.5543	0.0000	2.5000	50.5303
0.0000	0.5000	0.0000	2.5537	0.0000	2.5000	50.8981
0.0000	0.5000	0.0000	2.5533	-0.0000	2.5000	51.0819
0.0000	0.5000	0.0000	2.5529	-0.0000	2.5000	51.2657
0.0000	0.5000	0.0000	2.5525	-0.0000	2.5000	51.4495
0.0000	0.5000	0.0000	2.5522	-0.0000	2.5000	51.6333
0.0000	0.5000	0.0000	2.5514	-0.0000	2.5000	52.0008
0.0000	0.5000	0.0000	2.5511	-0.0000	2.5000	52.1845
0.0000	0.5000	0.0000	2.5508	-0.0000	2.5000	52.3681
0.0000	0.5000	0.0000	2.5504	-0.0000	2.5000	52.5518
0.0000	0.5000	0.0000	2.5498	-0.0000	2.5000	52.9190
0.0000	0.5000	0.0000	2.5495	-0.0000	2.5000	53.1025
0.0000	0.5000	0.0000	2.5492	-0.0000	2.5000	53.2861
0.0000	0.5000	0.0000	2.5489	-0.0000	2.5000	53.4696
0.0000	0.5000	0.0000	2.5486	-0.0000	2.5000	53.6531
0.0000	0.5000	0.0000	2.5481	-0.0000	2.5000	54.0201
0.0000	0.4900	0.0000	2.4661	0.0000	2.5000	54.2022
0.0000	0.5009	0.0000	2.5746	0.0000	2.5000	54.3819
0.0000	0.4900	0.0000	2.4871	0.0000	2.5000	54.5657
0.0000	0.4941	0.0000	2.5137	0.0000	2.5000	54.9253
0.0000	0.4900	0.0000	2.4811	0.0000	2.5000	55.1056
0.0000	0.4960	0.0000	2.5380	0.0000	2.5000	55.2853
0.0000	0.4900	0.0000	2.4806	0.0000	2.5000	55.4669
0.0000	0.4962	0.0000	2.5150	0.0000	2.5000	55.6460
0.0000	0.4900	0.0000	2.4875	0.0000	2.5000	56.0064
0.0000	0.4940	0.0000	2.5200	0.0000	2.5000	56.1860
0.0000	0.4900	0.0000	2.4799	0.0000	2.5000	56.3666
0.0000	0.4964	0.0000	2.5261	0.0000	2.5000	56.5458
0.0000	0.4900	0.0000	2.4844	0.0000	2.5000	56.9069
0.0000	0.4950	0.0000	2.5241	0.0000	2.5000	57.0867
0.0000	0.4900	0.0000	2.4750	0.0000	2.5000	57.2674
0.0000	0.4980	0.0000	2.5430	0.0000	2.5000	57.4467
0.0000	0.4900	0.0000	2.4992	0.0000	2.5000	57.6292
0.0000	0.4902	0.0000	2.4848	0.0000	2.5000	57.9869
0.0000	0.4949	0.0000	2.5219	0.0000	2.5000	58.1664
0.0000	0.4900	0.0000	2.4741	0.0000	2.5000	58.3470
0.0000	0.4983	0.0000	2.5320	0.0000	2.5000	58.5259
0.0000	0.4900	0.0000	2.4792	0.0000	2.5000	58.8871
0.0000	0.4967	0.0000	2.5319	0.0000	2.5000	59.0668
0.0000	0.4900	0.0000	2.4674	0.0000	2.5000	59.2477
0.0000	0.5004	0.0000	2.5550	0.0000	2.5000	59.4267
0.0000	0.4900	0.0000	2.4998	0.0000	2.5000	59.6101
0.0000	0.4901	0.0000	2.4794	0.0000	2.5000	59.9670
0.0000	0.4966	0.0000	2.5316	0.0000	2.5000	60.1464
0.0000	0.4900	0.0000	2.4680	0.0000	2.5000	60.3274
0.0000	0.5002	0.0000	2.5391	0.0000	2.5000	60.5060
0.0000	0.4900	0.0000	2.4754	0.0000	2.5000	60.8677
0.0000	0.4979	0.0000	2.5373	0.0000	2.5000	61.0473
0.0000	0.4900	0.0000	2.4622	0.0000	2.5000	61.2284
0.0000	0.5021	0.0000	2.5622	0.0000	2.5000	61.4072
0.0000	0.4900	0.0000	2.5000	0.0000	2.5000	61.5910
0.0000	0.4900	0.0000	2.4755	0.0000	2.5000	61.9474
0.0000	0.4978	0.0000	2.5380	0.0000	2.5000	62.1267
0.0000	0.4900	0.0000	2.4632	0.0000	2.5000	62.3079
0.0000	0.5018	0.0000	2.5437	0.0000	2.5000	62.4863
0.0000	0.4900	0.0000	2.4717	0.0000	2.5000	62.8481
0.0000	0.4990	0.0000	2.5422	0.0000	2.5000	63.0277
0.0000	0.4900	0.0000	2.4571	0.0000	2.5000	63.2089
0.0000	0.5037	0.0000	2.5688	0.0000	2.5000	63.3875
0.0000	0.4900	0.0000	2.5000	0.0000	2.5000	63.5719
0.0000	0.4900	0.0000	2.4716	0.0000	2.5000	63.9276
0.0000	0.4991	0.0000	2.5435	0.0000	2.5000	64.1068
0.0000	0.4900	0.0000	2.4583	0.0000	2.5000	64.2882
0.0000	0.5033	0.0000	2.5480	0.0000	2.5000	64.4664
0.0000	0.4900	0.0000	2.4679	0.0000	2.5000	64.8284
0.0000	0.5003	0.0000	2.5474	0.0000	2.5000	65.0078
0.0000	0.4900	0.0000	2.4518	0.0000	2.5000	65.1892
0.0000	0.5054	0.0000	2.5753	0.0000	2.5000	65.3676
0.0000	0.4900	0.0000	2.5001	0.0000	2.5000	65.5524
0.0000	0.4900	0.0000	2.4676	0.0000	2.5000	65.9076
0.0000	0.5004	0.0000	2.5490	0.0000	2.5000	66.0866
0.0000	0.4900	0.0000	2.4535	0.0000	2.5000	66.2683
0.0000	0.5049	0.0000	2.5519	0.0000	2.5000	66.4462
0.0000	0.4900	0.0000	2.4639	0.0000	2.5000	66.8084
0.0000	0.5015	0.0000	2.5525	0.0000	2.5000	66.9877
0.0000	0.4900	0.0000	2.4466	0.0000	2.5000	67.1693
0.0000	0.5071	0.0000	2.5814	0.0000	2.5000	67.3474
0.0000	0.4900	0.0000	2.5002	0.0000	2.5000	67.5327
0.0000	0.4900	0.0000	2.4635	0.0000	2.5000	67.8873
0.0000	0.5017	0.0000	2.5546	0.0000	2.5000	68.0662
0.0000	0.4900	0.0000	2.4488	0.0000	2.5000	68.2481
0.0000	0.5064	0.0000	2.5555	0.0000	2.5000	68.4257
0.0000	0.4900	0.0000	2.5241	0.0000	2.5000	68.6106
0.0000	0.4900	0.0000	2.4617	0.0000	2.5000	68.9652
0.0000	0.5023	0.0000	2.5573	0.0000	2.5000	69.1437
0.0000	0.4900	0.0000	2.4556	0.0000	2.5000	69.3260
0.0000	0.5042	0.0000	2.5198	0.0000	2.5000	69.5032
0.0000	0.4900	0.0000	2.4599	0.0000	2.5000	69.8625
0.0000	0.5028	0.0000	2.5594	0.0000	2.5000	70.0412
0.0000	0.4900	0.0000	2.4447	0.0000	2.5000	70.2233
0.0000	0.5077	0.0000	2.5579	0.0000	2.5000	70.4007
0.0000	0.4900	0.0000	2.4560	0.0000	2.5000	70.7630
0.0000	0.5041	0.0000	2.5625	0.0000	2.5000	70.9421
0.0000	0.4900	0.0000	2.4362	0.0000	2.5000	71.1240
0.0000	0.5100	0.0000	2.5898	0.0000	2.5000	71.3017
0.0000	0.4900	0.0000	2.4992	0.0000	2.5000	71.4876
0.0000	0.4903	0.0000	2.4564	0.0000	2.5000	71.8411
0.0000	0.5039	0.0000	2.5618	0.0000	2.5000	72.0197
0.0000	0.4900	0.0000	2.4396	0.0000	2.5000	72.2019
0.0000	0.5093	0.0000	2.5612	0.0000	2.5000	72.3789
0.0000	0.4900	0.0000	2.4516	0.0000	2.5000	72.7413
0.0000	0.5055	0.0000	2.5680	0.0000	2.5000	72.9203
0.0000	0.4900	0.0000	2.4309	0.0000	2.5000	73.1024
0.0000	0.5100	0.0000	2.5841	0.0000	2.5000	73.2797
0.0000	0.4900	0.0000	2.4957	0.0000	2.5000	73.4653
