CMDdriver	GasFeedback	targetVel	AccX	AccY	CMD_acc	GpsSpeed
0.0000	0.0666	16.3890	0.1113	-0.0000	2.5000	18.0089
0.0000	0.5300	16.4179	3.6033	-0.0000	2.5000	18.0806
0.0000	0.5100	16.4469	2.9580	-0.0000	1.3967	18.2859
0.0000	0.3000	16.4758	1.3262	-0.0000	2.0420	18.4161
0.0000	0.4400	16.5051	2.4392	-0.0000	2.5000	18.5628
0.0000	0.5295	16.5339	2.7789	-0.0000	2.5000	18.7526
0.0000	0.5295	16.5629	2.7789	-0.0000	2.2211	18.7526
0.0000	0.4600	16.5920	2.4083	0.0000	2.2124	19.1283
0.0000	0.4600	16.6210	2.3268	0.0000	2.5000	19.2959
0.0000	0.5200	16.6501	2.7672	0.0000	2.5000	19.4816
0.0000	0.5000	16.6789	2.5210	0.0000	2.2328	19.6675
0.0000	0.4600	16.7080	2.2973	0.0000	2.4790	19.8391
0.0000	0.5200	16.7368	2.4934	0.0000	2.5000	20.0144
0.0000	0.5021	16.7661	2.5241	0.0000	2.5000	20.1960
0.0000	0.5000	16.7950	2.5123	0.0000	2.4759	20.3769
0.0000	0.5000	16.8240	2.5170	0.0000	2.4877	20.5578
0.0000	0.5000	16.8530	2.5238	0.0000	2.4830	20.7391
0.0000	0.5000	16.8820	2.5238	0.0000	2.4762	20.7391
0.0000	0.5000	16.9110	2.5437	0.0000	2.4667	21.1038
0.0000	0.5000	16.9400	2.5542	0.0000	2.4563	21.2872
0.0000	0.5000	16.9689	2.5640	0.0000	2.4458	21.4715
0.0000	0.4900	16.9980	2.5051	0.0000	2.4360	21.6535
0.0000	0.4900	17.0270	2.5197	0.0000	2.4949	21.8344
0.0000	0.5000	17.0560	2.5646	0.0000	2.4803	22.0181
0.0000	0.5000	17.0849	2.5922	0.0000	2.4354	22.2044
0.0000	0.4900	17.1140	2.5195	-0.0000	2.4078	22.3874
0.0000	0.4900	17.1430	2.5330	-0.0000	2.4805	22.5698
0.0000	0.5000	17.1720	2.5888	-0.0000	2.4670	22.7549
0.0000	0.5000	17.2010	2.5888	-0.0000	2.4112	22.7549
0.0000	0.4900	17.2300	2.5369	-0.0000	2.4042	23.1248
0.0000	0.4900	17.2589	2.5331	-0.0000	2.4631	23.3074
0.0000	0.5000	17.2882	2.6078	-0.0000	2.4669	23.4932
0.0000	0.5000	17.3170	2.5930	-0.0000	2.3922	23.6802
0.0000	0.4800	17.3460	2.5057	-0.0000	2.4070	23.8620
0.0000	0.4900	17.3749	2.5120	-0.0000	2.4943	24.0418
0.0000	0.5000	17.4041	2.6006	-0.0000	2.4880	24.2279
0.0000	0.5000	17.4331	2.5907	-0.0000	2.3994	24.4144
0.0000	0.4800	17.4619	2.4532	-0.0000	2.4093	24.5947
0.0000	0.4900	17.4911	2.5162	-0.0000	2.5000	24.7744
0.0000	0.4900	17.5200	2.5162	-0.0000	2.4838	24.7744
0.0000	0.5000	17.5489	2.5883	-0.0000	2.4361	25.1447
0.0000	0.4900	17.5780	2.5095	-0.0000	2.4117	25.3269
0.0000	0.4900	17.6071	2.5205	0.0000	2.4905	25.5084
0.0000	0.5000	17.6361	2.5748	0.0000	2.4795	25.6926
0.0000	0.5000	17.6650	2.5797	0.0000	2.4252	25.8786
0.0000	0.4900	17.6939	2.5321	0.0000	2.4203	26.0621
0.0000	0.4900	17.7230	2.5129	0.0000	2.4679	26.2435
0.0000	0.5000	17.7521	2.5905	0.0000	2.4871	26.4283
0.0000	0.5000	17.7811	2.5772	0.0000	2.4095	26.6141
0.0000	0.4900	17.8100	2.5332	0.0000	2.4228	26.7971
0.0000	0.4900	17.8389	2.5332	0.0000	2.4668	26.7971
0.0000	0.5000	17.8682	2.5869	0.0000	2.4840	27.1638
0.0000	0.5000	17.8970	2.5798	0.0000	2.4131	27.3495
0.0000	0.4900	17.9261	2.5133	0.0000	2.4202	27.5320
0.0000	0.4900	17.9549	2.5200	0.0000	2.4867	27.7132
0.0000	0.5000	17.9839	2.5610	0.0000	2.4800	27.8971
0.0000	0.5000	18.0131	2.5846	0.0000	2.4390	28.0829
0.0000	0.4900	18.0421	2.5077	0.0000	2.4154	28.2647
0.0000	0.4900	18.0709	2.5205	-0.0000	2.4923	28.4460
0.0000	0.5000	18.1001	2.5756	-0.0000	2.4795	28.6305
0.0000	0.5000	18.1291	2.5817	-0.0000	2.4244	28.8164
0.0000	0.5000	18.1579	2.5817	-0.0000	2.4183	28.8164
0.0000	0.4900	18.1870	2.5148	-0.0000	2.4660	29.1813
0.0000	0.5000	18.2161	2.5904	-0.0000	2.4852	29.3663
0.0000	0.5000	18.2451	2.5782	-0.0000	2.4096	29.5522
0.0000	0.4900	18.2741	2.5313	-0.0000	2.4218	29.7351
0.0000	0.4900	18.3031	2.5148	-0.0000	2.4687	29.9162
0.0000	0.5000	18.3321	2.5755	-0.0000	2.4852	30.0997
0.0000	0.5000	18.3611	2.5802	-0.0000	2.4245	30.2852
0.0000	0.4900	18.3902	2.5121	-0.0000	2.4198	30.4674
0.0000	0.4900	18.4191	2.5172	-0.0000	2.4879	30.6485
0.0000	0.5000	18.4480	2.5608	-0.0000	2.4828	30.8324
0.0000	0.5000	18.4771	2.5608	-0.0000	2.4392	30.8324
0.0000	0.4900	18.5061	2.5058	-0.0000	2.4182	31.1995
0.0000	0.4900	18.5351	2.5176	-0.0000	2.4942	31.3806
0.0000	0.5000	18.5641	2.5740	0.0000	2.4824	31.5650
0.0000	0.5000	18.5931	2.5795	0.0000	2.4260	31.7508
0.0000	0.4900	18.6220	2.5313	0.0000	2.4205	31.9338
0.0000	0.4900	18.6511	2.5127	0.0000	2.4687	32.1151
0.0000	0.5000	18.6801	2.5863	0.0000	2.4873	32.3000
0.0000	0.5000	18.7091	2.5760	0.0000	2.4137	32.4857
0.0000	0.4900	18.7382	2.5258	0.0000	2.4240	32.6681
0.0000	0.4900	18.7671	2.5117	0.0000	2.4742	32.8491
0.0000	0.4900	18.7961	2.5117	0.0000	2.4883	32.8491
0.0000	0.5000	18.8250	2.5763	0.0000	2.4309	33.2178
0.0000	0.4900	18.8540	2.5096	0.0000	2.4237	33.3997
0.0000	0.4900	18.8832	2.5137	0.0000	2.4904	33.5805
0.0000	0.5000	18.9124	2.5602	0.0000	2.4863	33.7645
0.0000	0.5000	18.9410	2.5786	0.0000	2.4398	33.9499
0.0000	0.4900	18.9703	2.5099	0.0000	2.4214	34.1333
0.0000	0.4900	18.9990	2.5152	0.0000	2.4901	34.3144
0.0000	0.5000	19.0283	2.5717	0.0000	2.4848	34.4988
0.0000	0.5000	19.0572	2.5767	-0.0000	2.4283	34.6843
0.0000	0.4900	19.0861	2.5280	-0.0000	2.4233	34.8669
0.0000	0.4900	19.1150	2.5280	-0.0000	2.4720	34.8669
0.0000	0.5000	19.1442	2.5822	-0.0000	2.4895	35.2329
0.0000	0.5000	19.1732	2.5737	-0.0000	2.4178	35.4183
0.0000	0.4900	19.2022	2.5205	-0.0000	2.4263	35.6003
0.0000	0.4900	19.2312	2.5089	-0.0000	2.4795	35.7811
0.0000	0.5000	19.2602	2.5636	-0.0000	2.4911	35.9644
0.0000	0.5000	19.2892	2.5729	-0.0000	2.4364	36.1496
0.0000	0.4900	19.3182	2.5066	-0.0000	2.4271	36.3310
0.0000	0.4900	19.3472	2.5104	-0.0000	2.4934	36.5117
0.0000	0.5000	19.3762	2.5596	-0.0000	2.4896	36.6956
0.0000	0.5000	19.4052	2.5752	-0.0000	2.4404	36.8809
0.0000	0.5000	19.4342	2.5752	-0.0000	2.4248	36.8809
0.0000	0.4900	19.4632	2.5118	0.0000	2.4868	37.2447
0.0000	0.5000	19.4922	2.5715	0.0000	2.4882	37.4291
0.0000	0.5000	19.5211	2.5734	0.0000	2.4285	37.6144
0.0000	0.4900	19.5502	2.5242	0.0000	2.4266	37.7966
0.0000	0.4900	19.5792	2.5075	0.0000	2.4758	37.9773
0.0000	0.5000	19.6083	2.5789	0.0000	2.4925	38.1600
0.0000	0.5000	19.6372	2.5685	0.0000	2.4211	38.3451
0.0000	0.4900	19.6662	2.5140	0.0000	2.4315	38.5267
0.0000	0.4900	19.6952	2.5069	0.0000	2.4860	38.7073
0.0000	0.5000	19.7242	2.5581	0.0000	2.4931	38.8906
0.0000	0.5000	19.7532	2.5581	0.0000	2.4419	38.8906
0.0000	0.4900	19.7822	2.5021	0.0000	2.4290	39.2566
0.0000	0.4900	19.8112	2.5080	0.0000	2.4979	39.4371
0.0000	0.5000	19.8402	2.5609	0.0000	2.4920	39.6210
0.0000	0.5000	19.8692	2.5718	0.0000	2.4391	39.8061
0.0000	0.4900	19.8980	2.5157	0.0000	2.4282	39.9885
0.0000	0.4900	19.9272	2.5075	0.0000	2.4843	40.1692
0.0000	0.5000	19.9561	2.5715	0.0000	2.4925	40.3536
0.0000	0.5000	19.9851	2.5694	0.0000	2.4285	40.5386
0.0000	0.4900	20.0140	2.5180	0.0000	2.4306	40.7204
0.0000	0.4900	20.0432	2.5042	0.0000	2.4820	40.9009
0.0000	0.4900	20.0722	2.5042	0.0000	2.4958	40.9009
0.0000	0.5000	20.1012	2.5662	0.0000	2.4325	41.2683
0.0000	0.4900	20.1302	2.5062	0.0000	2.4338	41.4496
0.0000	0.4900	20.1591	2.5042	0.0000	2.4938	41.6299
0.0000	0.5000	20.1881	2.5548	0.0000	2.4958	41.8132
0.0000	0.5000	20.2173	2.5548	0.0000	2.4452	41.8132
0.0000	0.4900	20.2461	2.5177	0.0000	2.4319	42.1799
0.0000	0.4900	20.2752	2.5035	0.0000	2.4823	42.3603
0.0000	0.5000	20.3042	2.5612	0.0000	2.4965	42.5440
0.0000	0.5000	20.3333	2.5676	0.0000	2.4388	42.7289
0.0000	0.4900	20.3623	2.5146	0.0000	2.4324	42.9109
0.0000	0.4900	20.3912	2.5146	0.0000	2.4854	42.9109
0.0000	0.5000	20.4202	2.5695	0.0000	2.4969	43.2756
0.0000	0.5000	20.4491	2.5653	0.0000	2.4305	43.4604
0.0000	0.4900	20.4782	2.5107	0.0000	2.4347	43.6417
0.0000	0.4900	20.5072	2.5009	0.0000	2.4893	43.8219
0.0000	0.5000	20.5361	2.5585	0.0000	2.4991	44.0045
0.0000	0.5000	20.5651	2.5636	0.0000	2.4415	44.1891
