CMDdriver	GasFeedback	targetVel	AccX	AccY	CMD_acc	GpsSpeed
0.0000	0.0700	5.0000	0.1195	-0.0000	-0.0427	18.0166
0.0000	0.0400	5.0000	0.1169	-0.0000	-0.0906	18.0252
0.0000	0.0300	5.0000	-0.0810	-0.0000	-0.1373	18.0185
0.0000	0.0200	5.0000	-0.1885	-0.0000	-0.1011	18.0073
0.0000	0.0400	5.0000	-0.0498	-0.0000	-0.0403	18.0004
0.0000	0.0430	5.0000	-0.0393	-0.0000	-0.0025	17.9964
0.0000	0.0518	5.0000	0.0087	0.0000	0.0193	17.9952
0.0000	0.0534	5.0000	0.0151	0.0000	0.0201	17.9963
0.0000	0.0516	5.0000	0.0072	0.0000	0.0145	17.9978
0.0000	0.0523	5.0000	0.0117	0.0000	0.0114	17.9985
0.0000	0.0500	5.0000	-0.0030	0.0000	0.0076	17.9993
0.0000	0.0534	5.0000	0.0116	0.0000	0.0036	17.9997
0.0000	0.0500	5.0000	0.0029	0.0000	0.0014	18.0002
0.0000	0.0500	5.0000	-0.0042	0.0000	-0.0014	17.9999
0.0000	0.0409	5.0000	-0.0700	0.0000	0.0004	17.9963
0.0000	0.0700	5.0000	0.1646	0.0000	0.0196	18.0003
0.0000	0.0500	5.0000	0.0039	0.0000	-0.0022	18.0043
0.0000	0.0400	5.0000	-0.0434	0.0000	-0.0092	18.0016
0.0000	0.0509	5.0000	-0.0015	-0.0000	0.0070	17.9985
0.0000	0.0527	5.0000	0.0141	0.0000	0.0079	17.9991
0.0000	0.0500	5.0000	-0.0076	0.0000	0.0047	17.9992
0.0000	0.0539	5.0000	0.0132	0.0000	0.0040	17.9997
0.0000	0.0500	5.0000	0.0038	-0.0000	0.0014	18.0003
0.0000	0.0500	5.0000	-0.0041	-0.0000	-0.0020	17.9999
0.0000	0.0407	5.0000	-0.0716	-0.0000	-0.0001	17.9963
0.0000	0.0600	5.0000	0.0870	-0.0000	0.0196	17.9974
0.0000	0.0500	5.0000	0.0011	-0.0000	0.0137	17.9993
0.0000	0.0540	5.0000	0.0112	-0.0000	0.0012	17.9997
0.0000	0.0500	5.0000	-0.0046	-0.0000	-0.0026	18.0001
0.0000	0.0406	5.0000	-0.0776	-0.0000	-0.0009	17.9967
0.0000	0.0600	5.0000	0.0751	-0.0000	0.0174	17.9973
0.0000	0.0500	5.0000	0.0125	-0.0000	0.0145	17.9994
0.0000	0.0506	5.0000	-0.0001	-0.0000	0.0031	17.9991
0.0000	0.0510	5.0000	0.0014	-0.0000	0.0043	17.9991
0.0000	0.0509	5.0000	0.0009	-0.0000	0.0045	17.9992
0.0000	0.0512	5.0000	0.0025	-0.0000	0.0041	17.9993
0.0000	0.0505	5.0000	-0.0017	-0.0000	0.0035	17.9993
