CMDdriver	GasFeedback	targetVel	AccX	AccY	CMD_acc	GpsSpeed
0.0000	0.0000	5.0000	-0.2989	-0.0000	0.3778	17.9088
0.0000	0.1300	5.0000	0.3777	-0.0000	0.4958	17.9176
0.0000	0.1500	5.0000	0.5643	-0.0000	0.2194	17.9596
0.0000	0.0800	5.0000	0.2803	-0.0000	0.0402	17.9924
0.0000	0.0500	5.0000	-0.0615	-0.0000	-0.0161	18.0028
0.0000	0.0545	5.0000	0.0121	0.0000	-0.0143	18.0033
0.0000	0.0400	5.0000	-0.0595	0.0000	-0.0190	18.0008
0.0000	0.0530	5.0000	-0.0018	0.0000	0.0126	17.9976
0.0000	0.0530	5.0000	-0.0018	0.0000	0.0127	17.9976
0.0000	0.0546	5.0000	0.0156	0.0000	0.0085	17.9994
0.0000	0.0500	5.0000	-0.0117	0.0000	0.0028	17.9994
0.0000	0.0546	5.0000	0.0070	0.0000	0.0022	17.9995
0.0000	0.0500	5.0000	-0.0030	0.0000	-0.0004	18.0000
0.0000	0.0408	5.0000	-0.0837	0.0000	0.0091	17.9983
0.0000	0.0700	5.0000	0.1374	0.0000	0.0245	18.0043
0.0000	0.0500	5.0000	0.0255	0.0000	-0.0239	18.0085
0.0000	0.0400	5.0000	-0.0382	0.0000	-0.0330	18.0060
0.0000	0.0417	5.0000	-0.0527	0.0000	-0.0081	18.0014
0.0000	0.0542	5.0000	0.0315	-0.0000	0.0077	18.0002
0.0000	0.0500	5.0000	-0.0009	-0.0000	-0.0015	18.0009
0.0000	0.0400	5.0000	-0.0406	-0.0000	0.0074	17.9986
0.0000	0.0653	5.0000	0.0545	-0.0000	0.0076	17.9985
0.0000	0.0500	5.0000	-0.0404	-0.0000	-0.0160	18.0029
0.0000	0.0478	5.0000	-0.0199	-0.0000	-0.0148	18.0014
0.0000	0.0416	5.0000	-0.0474	-0.0000	-0.0079	17.9987
0.0000	0.0526	5.0000	-0.0139	-0.0000	0.0167	17.9969
0.0000	0.0598	5.0000	0.0546	-0.0000	0.0059	17.9988
0.0000	0.0500	5.0000	-0.0105	-0.0000	-0.0111	18.0016
0.0000	0.0400	5.0000	-0.0670	-0.0000	-0.0094	17.9989
0.0000	0.0584	5.0000	0.0036	-0.0000	0.0114	17.9978
0.0000	0.0525	5.0000	0.0144	-0.0000	-0.0012	18.0002
0.0000	0.0400	5.0000	-0.0936	0.0000	0.0028	17.9994
0.0000	0.0700	5.0000	0.1377	0.0000	0.0191	18.0054
0.0000	0.0500	5.0000	0.0245	0.0000	-0.0297	18.0095
0.0000	0.0400	5.0000	-0.0399	0.0000	-0.0382	18.0069
0.0000	0.0406	5.0000	-0.0618	0.0000	-0.0115	18.0021
0.0000	0.0561	5.0000	0.0421	0.0000	0.0063	18.0011
